oasis_profile_code,noc_code,profile_title,unit_group_title,profile_suffix,is_unit_group_profile,unit_group_profile_count,mapping_kind,mapping_status
00010.00,00010,Legislators,Legislators,00,True,1,one_to_one,mapped
00011.00,00011,Senior government managers and officials,Senior government managers and officials,00,True,1,one_to_one,mapped
00012.00,00012,"Senior managers - financial, communications and other business services","Senior managers - financial, communications and other business services",00,True,1,one_to_one,mapped
00013.00,00013,"Senior managers - health, education, social and community services and membership organizations","Senior managers - health, education, social and community services and membership organizations",00,True,1,one_to_one,mapped
00014.00,00014,"Senior managers - trade, broadcasting and other services","Senior managers - trade, broadcasting and other services",00,True,1,one_to_one,mapped
00015.00,00015,"Senior managers - construction, transportation, production and utilities","Senior managers - construction, transportation, production and utilities",00,True,1,one_to_one,mapped
10010.00,10010,Financial managers,Financial managers,00,True,1,one_to_one,mapped
10011.00,10011,Human resources managers,Human resources managers,00,True,1,one_to_one,mapped
10012.00,10012,Purchasing managers,Purchasing managers,00,True,1,one_to_one,mapped
10019.00,10019,Other administrative services managers,Other administrative services managers,00,True,1,one_to_one,mapped
10020.01,10020,Insurance managers,"Insurance, real estate and financial brokerage managers",01,False,4,one_to_many,mapped
10020.02,10020,Real estate service managers,"Insurance, real estate and financial brokerage managers",02,False,4,one_to_many,mapped
10020.03,10020,Mortgage broker managers,"Insurance, real estate and financial brokerage managers",03,False,4,one_to_many,mapped
10020.04,10020,Securities manager,"Insurance, real estate and financial brokerage managers",04,False,4,one_to_many,mapped
10021.01,10021,Banking and other investment managers,"Banking, credit and other investment managers",01,False,2,one_to_many,mapped
10021.02,10021,Credit managers,"Banking, credit and other investment managers",02,False,2,one_to_many,mapped
10022.01,10022,Advertising managers,"Advertising, marketing and public relations managers",01,False,4,one_to_many,mapped
10022.02,10022,Marketing managers,"Advertising, marketing and public relations managers",02,False,4,one_to_many,mapped
10022.03,10022,Public relation managers,"Advertising, marketing and public relations managers",03,False,4,one_to_many,mapped
10022.04,10022,E-business managers,"Advertising, marketing and public relations managers",04,False,4,one_to_many,mapped
10029.00,10029,Other business services managers,Other business services managers,00,True,1,one_to_one,mapped
10030.00,10030,Telecommunication carriers managers,Telecommunication carriers managers,00,True,1,one_to_one,mapped
11100.01,11100,Financial auditors,Financial auditors and accountants,01,False,2,one_to_many,mapped
11100.02,11100,Accountants,Financial auditors and accountants,02,False,2,one_to_many,mapped
11101.01,11101,Financial analysts,Financial and investment analysts,01,False,2,one_to_many,mapped
11101.02,11101,Investment analysts,Financial and investment analysts,02,False,2,one_to_many,mapped
11102.00,11102,Financial advisors,Financial advisors,00,True,1,one_to_one,mapped
11103.01,11103,Securities agents and investment dealers,"Securities agents, investment dealers and brokers",01,False,2,one_to_many,mapped
11103.02,11103,Brokers,"Securities agents, investment dealers and brokers",02,False,2,one_to_many,mapped
11109.01,11109,Financial examiners and inspectors,Other financial officers,01,False,5,one_to_many,mapped
11109.02,11109,Financial investigators,Other financial officers,02,False,5,one_to_many,mapped
11109.03,11109,Financial Underwriters,Other financial officers,03,False,5,one_to_many,mapped
11109.04,11109,Trust officers,Other financial officers,04,False,5,one_to_many,mapped
11109.05,11109,Mortgage brokers,Other financial officers,05,False,5,one_to_many,mapped
11200.00,11200,Human resources professionals,Human resources professionals,00,True,1,one_to_one,mapped
11201.00,11201,Professional occupations in business management consulting,Professional occupations in business management consulting,00,True,1,one_to_one,mapped
11202.00,11202,"Professional occupations in marketing, advertising and public relations","Professional occupations in advertising, marketing and public relations",00,True,1,one_to_one,mapped
12010.00,12010,"Supervisors, general office and administrative support workers","Supervisors, general office and administrative support workers",00,True,1,one_to_one,mapped
12011.00,12011,"Supervisors, finance and insurance office workers","Supervisors, finance and insurance office workers",00,True,1,one_to_one,mapped
12012.00,12012,"Supervisors, library, correspondence and related information workers","Supervisors, library, correspondence and related information workers",00,True,1,one_to_one,mapped
12013.00,12013,"Supervisors, supply chain, tracking and scheduling coordination occupations","Supervisors, supply chain, tracking and scheduling coordination occupations",00,True,1,one_to_one,mapped
12100.00,12100,Executive assistants,Executive assistants,00,True,1,one_to_one,mapped
12101.00,12101,Human resources and recruitment officers,Human resources and recruitment officers,00,True,1,one_to_one,mapped
12102.00,12102,Procurement and purchasing agents and officers,Procurement and purchasing agents and officers,00,True,1,one_to_one,mapped
12103.00,12103,Conference and event planners,Conference and event planners,00,True,1,one_to_one,mapped
12104.01,12104,Excise tax revenue officers,Employment insurance and revenue officers,01,False,2,one_to_many,mapped
12104.02,12104,Government benefits services officers,Employment insurance and revenue officers,02,False,2,one_to_many,mapped
12110.01,12110,Court reporters,"Court reporters, medical transcriptionists and related occupations",01,False,2,one_to_many,mapped
12110.02,12110,Medical transcriptionists,"Court reporters, medical transcriptionists and related occupations",02,False,2,one_to_many,mapped
12111.00,12111,Health information management occupations,Health information management occupations,00,True,1,one_to_one,mapped
12112.00,12112,Records management technicians,Records management technicians,00,True,1,one_to_one,mapped
