title,category,slug,noc_code,data_year,trend_from_year,num_jobs,unemployment_rate,employment_share_pct,employment_change_pct,employment_change_abs,men_share_pct,women_share_pct,num_employees,average_hourly_wage,average_weekly_wage,median_hourly_wage,median_weekly_wage,outlook_label,outlook_score,outlook_window_start,outlook_window_end,outlook_release_date,outlook_source_url,epiac_reference_year,epiac_display_score,epiac_high_exposure_pct,epiac_helc_pct,epiac_hehc_pct,epiac_low_pct,epiac_aioe,epiac_complementarity,epiac_caioe,epiac_group_code,epiac_group_label,epiac_source_title,epiac_source_url,epiac_source_note,epiac_source_groups,url,employment_url,wages_url
Administrative and financial support and supply chain logistics occupations,"Business, finance and administration occupations, except management",noc-14,14,2025,2019,819700,4.4,3.9,2.3,18600,30.1,69.9,816500,26.70,925.13,25.00,923.20,Moderate,-0.35,2025,2027,2025-12-08,https://open.canada.ca/data/en/dataset/b0e112e9-cf53-4e79-8838-23cd98debe5b/resource/cb52e1d0-ab62-4357-91cc-d8f5a2114e02,2021,8,76.0,76.0,0.0,24.0,6.2227,0.5029,5.2678,HELC,"High exposure, low complementarity","Experimental Estimates of Potential Artificial Intelligence Occupational Exposure in Canada, 2024",https://www150.statcan.gc.ca/n1/pub/11f0019m/11f0019m2024005-eng.htm,"Mapped to the closest published StatCan EPIAC occupation group from the 2021 Census (NOC 2016): Office support and co-ordination occupations (14, 15).","Office support and co-ordination occupations (14, 15)",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041701
Administrative occupations and transportation logistics occupations,"Business, finance and administration occupations, except management",noc-13,13,2025,2019,775600,3.1,3.7,15.0,100900,16.0,84.0,755900,31.72,1113.03,29.33,1076.80,Moderate,0.15,2025,2027,2025-12-08,https://open.canada.ca/data/en/dataset/b0e112e9-cf53-4e79-8838-23cd98debe5b/resource/cb52e1d0-ab62-4357-91cc-d8f5a2114e02,2021,10,100.0,82.0,18.0,0.0,6.4791,0.5592,5.1198,HELC,"High exposure, low complementarity","Experimental Estimates of Potential Artificial Intelligence Occupational Exposure in Canada, 2024",https://www150.statcan.gc.ca/n1/pub/11f0019m/11f0019m2024005-eng.htm,"Mapped to the closest published StatCan EPIAC occupation group from the 2021 Census (NOC 2016): Administrative occupations in finance, insurance and business (12, 13).","Administrative occupations in finance, insurance and business (12, 13)",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041701
Administrative and financial supervisors and specialized administrative occupations,"Business, finance and administration occupations, except management",noc-12,12,2025,2019,689900,2.8,3.3,12.1,74600,32.0,68.0,630000,37.03,1348.73,34.13,1276.50,Moderate,0.12,2025,2027,2025-12-08,https://open.canada.ca/data/en/dataset/b0e112e9-cf53-4e79-8838-23cd98debe5b/resource/cb52e1d0-ab62-4357-91cc-d8f5a2114e02,2021,10,100.0,82.0,18.0,0.0,6.4791,0.5592,5.1198,HELC,"High exposure, low complementarity","Experimental Estimates of Potential Artificial Intelligence Occupational Exposure in Canada, 2024",https://www150.statcan.gc.ca/n1/pub/11f0019m/11f0019m2024005-eng.htm,"Mapped to the closest published StatCan EPIAC occupation group from the 2021 Census (NOC 2016): Administrative occupations in finance, insurance and business (12, 13).","Administrative occupations in finance, insurance and business (12, 13)",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041701
Professional occupations in finance,"Business, finance and administration occupations, except management",noc-111,111,2025,2019,548500,1.5,2.6,24.7,108600,51.2,48.8,456900,48.03,1829.35,42.79,1615.50,Moderate,-0.17,2025,2027,2025-12-08,https://open.canada.ca/data/en/dataset/b0e112e9-cf53-4e79-8838-23cd98debe5b/resource/cb52e1d0-ab62-4357-91cc-d8f5a2114e02,2021,10,100.0,100.0,0.0,0.0,6.6558,0.5901,5.0478,HELC,"High exposure, low complementarity","Experimental Estimates of Potential Artificial Intelligence Occupational Exposure in Canada, 2024",https://www150.statcan.gc.ca/n1/pub/11f0019m/11f0019m2024005-eng.htm,Mapped to the closest published StatCan EPIAC occupation group from the 2021 Census (NOC 2016): Professional occupations in business and finance (11).,Professional occupations in business and finance (11),https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041701
Professional occupations in business,"Business, finance and administration occupations, except management",noc-112,112,2025,2019,533900,3.5,2.5,37.8,146400,36.7,63.3,422300,44.18,1640.37,41.03,1538.63,Moderate,-0.48,2025,2027,2025-12-08,https://open.canada.ca/data/en/dataset/b0e112e9-cf53-4e79-8838-23cd98debe5b/resource/cb52e1d0-ab62-4357-91cc-d8f5a2114e02,2021,10,100.0,100.0,0.0,0.0,6.6558,0.5901,5.0478,HELC,"High exposure, low complementarity","Experimental Estimates of Potential Artificial Intelligence Occupational Exposure in Canada, 2024",https://www150.statcan.gc.ca/n1/pub/11f0019m/11f0019m2024005-eng.htm,Mapped to the closest published StatCan EPIAC occupation group from the 2021 Census (NOC 2016): Professional occupations in business and finance (11).,Professional occupations in business and finance (11),https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041701
Assisting occupations in support of health services,"Health occupations, except management",noc-33,33,2025,2019,477200,2.1,2.3,13.2,55700,15.3,84.7,476900,25.78,862.89,25.00,875.00,Good,0.76,2025,2027,2025-12-08,https://open.canada.ca/data/en/dataset/b0e112e9-cf53-4e79-8838-23cd98debe5b/resource/cb52e1d0-ab62-4357-91cc-d8f5a2114e02,2021,0,0.0,0.0,0.0,100.0,5.6574,0.6095,4.1815,LOW,Low exposure,"Experimental Estimates of Potential Artificial Intelligence Occupational Exposure in Canada, 2024",https://www150.statcan.gc.ca/n1/pub/11f0019m/11f0019m2024005-eng.htm,Mapped to the closest published StatCan EPIAC occupation group from the 2021 Census (NOC 2016): Assisting occupations in support of health services (34).,Assisting occupations in support of health services (34),https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041701
Nursing and allied health professionals,"Health occupations, except management",noc-313,313,2025,2019,448100,0.8,2.1,28.4,99000,11.0,89.0,440700,46.00,1608.01,46.00,1612.20,Good,1.21,2025,2027,2025-12-08,https://open.canada.ca/data/en/dataset/b0e112e9-cf53-4e79-8838-23cd98debe5b/resource/cb52e1d0-ab62-4357-91cc-d8f5a2114e02,2021,10,100.0,0.0,100.0,0.0,6.1660,0.6995,4.0007,HEHC,"High exposure, high complementarity","Experimental Estimates of Potential Artificial Intelligence Occupational Exposure in Canada, 2024",https://www150.statcan.gc.ca/n1/pub/11f0019m/11f0019m2024005-eng.htm,Mapped to the closest published StatCan EPIAC occupation group from the 2021 Census (NOC 2016): Professional occupations in nursing (30).,Professional occupations in nursing (30),https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041701
Technical occupations in health,"Health occupations, except management",noc-32,32,2025,2019,407200,1.0,1.9,16.5,57800,20.5,79.6,347600,36.43,1266.71,35.00,1224.00,Good,0.66,2025,2027,2025-12-08,https://open.canada.ca/data/en/dataset/b0e112e9-cf53-4e79-8838-23cd98debe5b/resource/cb52e1d0-ab62-4357-91cc-d8f5a2114e02,2021,3,31.0,13.0,18.0,69.0,5.8897,0.6250,4.2623,LOW,Low exposure,"Experimental Estimates of Potential Artificial Intelligence Occupational Exposure in Canada, 2024",https://www150.statcan.gc.ca/n1/pub/11f0019m/11f0019m2024005-eng.htm,Mapped to the closest published StatCan EPIAC occupation group from the 2021 Census (NOC 2016): Technical occupations in health (32).,Technical occupations in health (32),https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041701
Health treating and consultation services professionals,"Health occupations, except management",noc-311,311,2025,2019,274700,0.8,1.3,23.2,51800,41.5,58.5,130200,57.66,2141.59,51.73,1804.48,Good,1.02,2025,2027,2025-12-08,https://open.canada.ca/data/en/dataset/b0e112e9-cf53-4e79-8838-23cd98debe5b/resource/cb52e1d0-ab62-4357-91cc-d8f5a2114e02,2021,9,86.0,0.0,86.0,14.0,6.2932,0.7266,3.9209,HEHC,"High exposure, high complementarity","Experimental Estimates of Potential Artificial Intelligence Occupational Exposure in Canada, 2024",https://www150.statcan.gc.ca/n1/pub/11f0019m/11f0019m2024005-eng.htm,Mapped to the closest published StatCan EPIAC occupation group from the 2021 Census (NOC 2016): Professional occupations in health (except nursing) (31).,Professional occupations in health (except nursing) (31),https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041701
Therapy and assessment professionals,"Health occupations, except management",noc-312,312,2025,2019,105800,,0.5,12.0,11300,27.5,72.5,58200,48.85,1634.77,50.00,1614.38,Good,0.52,2025,2027,2025-12-08,https://open.canada.ca/data/en/dataset/b0e112e9-cf53-4e79-8838-23cd98debe5b/resource/cb52e1d0-ab62-4357-91cc-d8f5a2114e02,2021,9,86.0,0.0,86.0,14.0,6.2932,0.7266,3.9209,HEHC,"High exposure, high complementarity","Experimental Estimates of Potential Artificial Intelligence Occupational Exposure in Canada, 2024",https://www150.statcan.gc.ca/n1/pub/11f0019m/11f0019m2024005-eng.htm,Mapped to the closest published StatCan EPIAC occupation group from the 2021 Census (NOC 2016): Professional occupations in health (except nursing) (31).,Professional occupations in health (except nursing) (31),https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041601,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410041701
